numberOfData, addingTime, findingTime, deletingTime
859, 100, 1300, 1200
860, 100, 2100, 1400
861, 100, 1300, 1100
862, 100, 1300, 1300
863, 0, 2100, 1100
864, 100, 1200, 1200
865, 100, 1200, 1100
866, 100, 2100, 1600
867, 0, 1100, 1100
868, 100, 1300, 1100
869, 100, 2100, 1200
870, 100, 1300, 1100
871, 100, 1200, 1100
872, 100, 2200, 1100
873, 0, 1200, 1100
874, 100, 1200, 1100
875, 100, 2400, 1200
876, 100, 1200, 1100
877, 100, 1200, 1100
878, 100, 2000, 1200
879, 100, 1800, 24300
880, 100, 1700, 1200
881, 100, 2500, 1200
882, 100, 1300, 1100
883, 800, 8000, 2000
884, 100, 2800, 1200
885, 400, 4200, 2500
886, 100, 1400, 1200
887, 100, 2200, 1100
888, 100, 1200, 2000
889, 0, 1200, 1500
890, 100, 2100, 1200
891, 100, 1200, 2000
892, 100, 1200, 1100
893, 100, 2000, 1100
894, 0, 1300, 2100
895, 100, 1300, 1200
896, 100, 2300, 2200
897, 100, 1300, 1900
898, 5900, 1400, 1700
899, 100, 2400, 1200
900, 100, 1200, 1900
901, 0, 1300, 1100
902, 100, 2800, 1200
903, 100, 1200, 2300
904, 100, 1200, 1100
905, 0, 2300, 1600
906, 100, 1200, 2000
907, 100, 1300, 1400
908, 100, 1800, 1200
909, 100, 1300, 2200
910, 0, 1500, 1200
911, 0, 1400, 1100
912, 0, 1400, 2000
913, 100, 1500, 1300
914, 100, 1200, 1400
915, 0, 1200, 1900
916, 100, 1200, 1100
917, 100, 1200, 1200
918, 0, 1200, 2400
919, 100, 1300, 1100
920, 0, 1400, 1300
921, 0, 1200, 2200
922, 0, 1200, 1200
923, 100, 1500, 1200
924, 100, 1200, 1900
925, 100, 1300, 1500
926, 0, 1300, 1100
927, 100, 1200, 2000
928, 0, 1200, 1100
929, 0, 1200, 1100
930, 100, 1200, 2000
931, 100, 1700, 1200
932, 100, 1300, 1100
933, 100, 1700, 2100
934, 100, 1300, 1200
935, 100, 1300, 1100
936, 0, 1200, 2200
937, 0, 1400, 1100
938, 0, 1400, 1100
939, 0, 1300, 2400
940, 100, 1300, 1100
941, 100, 1200, 1300
942, 100, 1300, 2000
943, 100, 1300, 1100
944, 0, 1100, 1200
945, 100, 1200, 2200
946, 100, 2000, 1200
947, 100, 1300, 1200
948, 0, 1400, 2000
949, 100, 1300, 1100
950, 0, 1300, 1100
951, 0, 1200, 2000
952, 100, 1600, 1100
953, 0, 1200, 1300
954, 200, 3200, 2900
955, 100, 1900, 1300
956, 100, 1600, 1200
957, 100, 1200, 2000
958, 100, 1200, 1100
959, 100, 1300, 1200
960, 0, 1200, 2900
961, 0, 1200, 1400
962, 0, 1200, 1400
963, 0, 1200, 2100
964, 100, 1300, 1200
965, 0, 1200, 1200
966, 0, 1400, 2200
967, 100, 1900, 1200
968, 100, 1200, 1100
969, 0, 1200, 2200
970, 0, 1600, 1100
971, 0, 1300, 1100
972, 0, 1200, 2100
973, 100, 1400, 1100
974, 100, 1200, 1100
975, 100, 1200, 2000
976, 0, 1500, 1400
977, 0, 1300, 1200
978, 100, 1200, 2700
979, 100, 1200, 1100
980, 100, 1200, 1100
981, 100, 1300, 2400
982, 0, 1300, 1200
983, 100, 1300, 1200
984, 0, 1300, 2000
985, 0, 1300, 1400
986, 0, 1300, 1100
987, 0, 1200, 20400
988, 100, 4200, 1500
989, 100, 1400, 1200
990, 100, 1300, 2100
991, 100, 1300, 1100
992, 100, 1200, 1100
993, 0, 1200, 2100
994, 100, 1400, 1100
995, 100, 1400, 1200
996, 100, 1500, 2000
997, 100, 1200, 1100
998, 100, 1200, 1200
999, 0, 1200, 2000
1000, 700, 28000, 5300
1001, 200, 2100, 1300
1002, 0, 1300, 2600
1003, 100, 1300, 1200
1004, 100, 1300, 1100
1005, 100, 1200, 2100
1006, 0, 1200, 1100
1007, 0, 1400, 1100
1008, 100, 2300, 1100
1009, 100, 1300, 1100
1010, 100, 1200, 1100
1011, 100, 2100, 1100
1012, 100, 1300, 1100
1013, 100, 1600, 1200
1014, 0, 2200, 1100
1015, 100, 1200, 1100
1016, 0, 1200, 1200
1017, 0, 2800, 24100
1018, 100, 1300, 1200
1019, 0, 1100, 1000
1020, 100, 2000, 1000
1021, 100, 1100, 1000
1022, 0, 1200, 1000
1023, 100, 2400, 1100
1024, 0, 1400, 1700
1025, 100, 1200, 1500
1026, 0, 2100, 1200
1027, 0, 1100, 1100
1028, 100, 1100, 1000
1029, 0, 2000, 1100
1030, 0, 1200, 1000
1031, 0, 1100, 1100
1032, 100, 2200, 1100
1033, 0, 1100, 1100
1034, 100, 1200, 1000
1035, 0, 2000, 1000
1036, 100, 1100, 1000
1037, 0, 1100, 1000
1038, 0, 2000, 1100
1039, 100, 1100, 1100
1040, 0, 1600, 1100
1041, 0, 1900, 1000
1042, 0, 1100, 1300
1043, 0, 1100, 1100
1044, 0, 2200, 1100
1045, 0, 1200, 3500
1046, 0, 1100, 1100
1047, 100, 4000, 1100
1048, 0, 1000, 1900
1049, 0, 1100, 1800
1050, 0, 4300, 1200
1051, 0, 1100, 1300
1052, 100, 1100, 1000
1053, 0, 1900, 1300
1054, 100, 1900, 1200
1055, 100, 1000, 1000
1056, 100, 2000, 1000
1057, 0, 1100, 1000
1058, 0, 1000, 1000
1059, 100, 1900, 1000
1060, 0, 1100, 1000
1061, 100, 1000, 900
